dates,volume,high,market-cap,close,open,low
20130728,0,100.58,1082750000.0,99.76,94.4,94.0
20170309,212283000.0,1197.46,18640900000.0,1188.49,1150.35,1141.23
20170308,332603000.0,1232.16,19819800000.0,1150.0,1223.23,1148.08
20170305,134127000.0,1267.29,20316000000.0,1267.12,1254.29,1238.06
20170304,183270000.0,1279.4,20688800000.0,1255.15,1277.43,1230.51
20170307,291256000.0,1275.55,20627100000.0,1223.54,1273.21,1204.8
20170306,153657000.0,1276.0,20531900000.0,1272.83,1267.47,1264.6
20170301,229057000.0,1222.5,19104800000.0,1222.5,1180.04,1179.69
20170303,315739000.0,1280.31,20253700000.0,1274.99,1250.71,1250.71
20170302,368275000.0,1262.13,19829800000.0,1251.01,1224.68,1215.62
20171204,6132410000.0,11657.2,1.89172e+11,11657.2,11315.4,11081.8
20160131,37894300.0,380.35,5729870000.0,368.77,378.29,367.83
20160130,30284400.0,380.92,5736760000.0,378.25,378.87,376.49
20151025,45717100.0,294.06,4154100000.0,283.68,281.44,281.44
20151024,25942400.0,281.71,4080140000.0,281.65,276.5,276.5
20151027,46331800.0,296.21,4211500000.0,293.79,285.18,285.01
20151026,32108800.0,285.3,4187410000.0,285.3,283.63,280.51
20151021,25637300.0,270.77,3970980000.0,266.27,269.31,263.84
20151020,30889800.0,270.83,3885570000.0,269.46,263.57,263.23
20151023,29442500.0,278.68,4037010000.0,276.5,273.65,273.54
20151022,37808600.0,276.51,3930500000.0,274.02,266.5,266.13
20151029,64495900.0,318.17,4496390000.0,313.86,304.32,301.82
20151028,50808100.0,306.33,4338430000.0,304.62,293.7,293.7
20171001,1208210000.0,4403.74,72047300000.0,4403.74,4341.05,4269.81
20171003,1288020000.0,4432.47,73181300000.0,4317.48,4408.46,4258.89
20171002,1431730000.0,4470.23,72963200000.0,4409.32,4395.81,4377.46
20171005,1161770000.0,4362.64,70233700000.0,4328.41,4229.88,4164.05
20171004,1116770000.0,4352.31,71712500000.0,4229.36,4319.37,4210.42
20171007,906928000.0,4443.88,72565100000.0,4426.89,4369.35,4321.05
20171006,1069940000.0,4413.27,71810600000.0,4370.81,4324.46,4320.53
20171009,1968740000.0,4878.71,76656500000.0,4772.02,4614.52,4564.25
20171008,1313870000.0,4624.14,73575400000.0,4610.48,4429.67,4405.64
20150123,24621700.0,234.84,3211490000.0,232.88,233.52,225.2
